o_10001,抗酸化ジュース,QFWMPantioxydant juice,1
o_10001,アーモンド,VDPERalmonds,1
o_10001,アボカド,EZUQXavocado,1
o_10001,エビ,LZKBIshrimp,1
o_10001,オリーブオイル,WPJEWolive oil,1
o_10001,カッテージチーズ,RPFWGcottage cheese,1
o_10001,サーモン,KNTSJsalmon,1
o_10001,サラダ,GOUTQsalad,1
o_10001,トマトジュース,BVUWBtomato juice,1
o_10001,はちみつ,CSAEYhoney,1
o_10001,フローズンスムージー,DJBOUfrozen smoothie,1
o_10001,ほうれん草,NWSPSspinach,1
o_10001,ミネラルウォーター,DQACFmineral water,1
o_10001,ヤムイモ,BLAOByams,1
o_10001,栄養ドリンク,NMMFKenergy drink,1
o_10001,全粒粉,QGZTIwhole weat flour,1
o_10001,低脂肪ヨーグルト,GIUSWlow fat yogurt,1
o_10001,野菜ミックス,PWHQBvegetables mix,1
o_10001,緑のブドウ,QBETTgreen grapes,1
o_10001,緑茶,QYWGJgreen tea,1
o_10002,ハンバーガー,DCSSOburgers,1
o_10002,ミートボール,CLGIHmeatballs,1
o_10002,卵,QNXNVeggs,1
o_10003,チャツネ,AVLTCchutney,1
o_10004,アボカド,FOBGBavocado,1
o_10004,七面鳥,OBOBDturkey,1
o_10005,エネルギーバー,UWWXIenergy bar,1
o_10005,ミネラルウォーター,AMEETmineral water,1
o_10005,ミルク,FAIFCmilk,1
o_10005,全粒小麦の米,EJQOPwhole wheat rice,1
o_10005,緑茶,NIKQXgreen tea,1
o_10006,低脂肪ヨーグルト,SOTLElow fat yogurt,1
o_10007,フライドポテト,AGWBFfrench fries,1
o_10007,全粒粉パスタ,DLPJLwhole wheat pasta,1
o_10008,エシャロット,JEPEBshallot,1
o_10008,スープ,HFZBFsoup,1
o_10008,ライトクリーム,NBQLQlight cream,1
o_10009,スパゲッティ,TBJBAspaghetti,1
o_10009,緑茶,XFJPMgreen tea,1
o_10009,冷凍野菜,FFFQAfrozen vegetables,1
o_10010,フライドポテト,VXDGIfrench fries,1
o_10011,ペットフード,WOZFKpet food,1
o_10011,卵,JRJUHeggs,1
o_10012,クッキー,WIOWBcookies,1
o_10013,クッキングオイル,QCCGVcooking oil,1
o_10013,ハンバーガー,ELAJDburgers,1
o_10013,ミネラルウォーター,IGFTGmineral water,1
o_10013,七面鳥,YNSTOturkey,1
o_10013,卵,QRNHWeggs,1
o_10014,クッキー,ZGTGHcookies,1
o_10014,シャンパン,EUCIWchampagne,1
o_10014,スパゲッティ,WXHSDspaghetti,1
o_10015,サーモン,APIEZsalmon,1
o_10015,ミネラルウォーター,YGVXImineral water,1
o_10016,ミネラルウォーター,LNDGEmineral water,1
o_10017,エビ,QGIAWshrimp,1
o_10017,クッキングオイル,SYITRcooking oil,1
o_10017,チキン,VBCFHchicken,1
o_10017,チョコレート,ZDOMOchocolate,1
o_10017,はちみつ,SFFONhoney,1
o_10017,低脂肪ヨーグルト,JEQGMlow fat yogurt,1
o_10017,油,AMYZDoil,1
o_10018,七面鳥,SCNJJturkey,1
o_10018,卵,OWMEEeggs,1
o_10019,サーモン,QWKOVsalmon,1
o_10019,スパゲッティ,HXSTEspaghetti,1
o_10019,チキン,HYLVVchicken,1
o_10019,トマト,KKEVVtomatoes,1
o_10019,ミネラルウォーター,HCXQPmineral water,1
o_10019,紅茶,TTSOGblack tea,1
